id,src,src_type,dst,dst_type,distance,link_type,src_node_id,dst_node_id
,9026103,bss,135011,bss,0.16076,e2e,1,2
,9026103,bss,10003027,bss,0.23177,e2e,1,3
,9026103,bss,135143,bss,0.20666,e2e,1,4
,135011,bss,135143,bss,0.18149,e2e,2,4
,135011,bss,101373,bss,0.33031,e2e,2,6
,10003027,bss,135143,bss,0.20468,e2e,3,4
,10003027,bss,9001289,bss,0.20992,e2e,3,9
,135143,bss,135390,bss,0.23836,e2e,4,5
,135143,bss,9001289,bss,0.15934,e2e,4,9
,135143,bss,135306,bss,0.29226,e2e,4,10
,135390,bss,101373,bss,0.30428,e2e,5,6
,135390,bss,134680,bss,0.28682,e2e,5,8
,135390,bss,9001289,bss,0.30327,e2e,5,9
,135390,bss,9014611,bss,0.17542,e2e,5,11
,101373,bss,9009845,bss,0.11959,e2e,6,7
,101373,bss,134680,bss,0.25570,e2e,6,8
,9009845,bss,134680,bss,0.20603,e2e,7,8
,134680,bss,9014611,bss,0.32668,e2e,8,11
,134680,bss,134822,bss,0.26031,e2e,8,12
,9001289,bss,135306,bss,0.21528,e2e,9,10
,135306,bss,9014611,bss,0.13039,e2e,10,11
,9014611,bss,134822,bss,0.22563,e2e,11,12
,101,user,9026103,bss,0.07381,u2e,101,1
,102,user,135011,bss,0.03536,u2e,102,2
,103,user,10003027,bss,0.03167,u2e,103,3
,104,user,135143,bss,0.01821,u2e,104,4
,105,user,135390,bss,0.01378,u2e,105,5
,106,user,101373,bss,0.07703,u2e,106,6
,107,user,9009845,bss,0.02602,u2e,107,7
,108,user,134680,bss,0.06069,u2e,108,8
,109,user,9001289,bss,0.05716,u2e,109,9
,110,user,135306,bss,0.06533,u2e,110,10
,111,user,9014611,bss,0.05128,u2e,111,11
,112,user,134822,bss,0.01208,u2e,112,12
,206082,cloud,134822,bss,0.13119,c2e,0,12
,206082,cloud,9014611,bss,0.22656,c2e,0,11
,206082,cloud,135306,bss,0.30339,c2e,0,10
